Time,Amount,V1,V2,Class
37454.01188473625,10.236514095673291,-0.877982586756561,1.8709651753717822,0
95071.43064099162,39.033492307586826,-0.82688035403986,0.38961417737090387,0
73199.39418114051,103.15708971410294,-0.22647889190152676,-0.8682927318763665,0
59865.84841970366,65.88038895652369,0.3673655068161781,0.5346290861224353,0
15601.864044243652,82.13969130368787,0.9135846262332494,-2.6357477390168778,0
15599.452033620264,53.76188575852014,-0.8031789506803448,0.003375506597160999,0
5808.361216819946,58.92769180707661,1.4926885689595217,0.32782117284308526,0
86617.61457749351,94.58859940251398,-0.2711236010425688,0.9242701395378298,0
60111.50117432088,14.361975777006005,-0.021367294348436157,-1.0138959522925377,0
70807.25777960455,33.610883308562066,-0.7472116791478234,0.08568716140335904,0
2058.4494295802447,12.500656455306117,-2.4242402602729416,-0.9254246260595873,0
96990.98521619943,219.77792087026646,0.8840453963610497,0.2553837556743171,0
83244.26408004218,144.17318936602072,0.7368438970924334,-0.8953463223630241,0
21233.911067827616,2.0112550602689545,-0.2813275571182134,-0.4081008391602206,0
18182.496720710064,61.136578159786445,0.06699071722487192,-0.9958153947902291,0
18340.45098534338,129.67917787376277,0.5159392177040995,0.651136241823657,0
30424.224295953773,9.9576412693925,-1.5625458568865427,0.8584511166566653,0
52475.64316322379,41.960145882295116,-0.5290526773462948,-0.2346205699574138,0
43194.501864211576,123.5432632062765,0.7942646796218271,0.03823799496002834,0
29122.91401980419,1.7267761772105907,-1.2542894231692494,-1.4485914146335441,0
61185.28947223795,59.77052284464427,0.2935579321666293,-0.29967664800678706,0
13949.386065204184,17.64474823726064,-1.356581804623405,-0.05020461704174478,0
29214.464853521815,129.1124335677838,0.46642998243352635,2.620793091029975,0
36636.18432936917,177.12349613111266,-0.03564148229748357,-1.1119670257741636,0
45606.998421703596,144.35868406204872,-1.6151318159055095,1.4641772387524374,0
78517.59613930136,32.143070259922915,1.1647393544571714,0.996858773465808,0
19967.378215835975,99.0405353367679,-0.7345915767980492,0.2806364044901364,0
